id,Title,Description,Labels,Milestone
BE-1,Create CustomUser model,Implement custom Django user model with email authentication.,team/backend-cloud;phase/1-foundation,Phase 1 — Foundation
BE-2,Implement Register API,POST /auth/register/ endpoint with validation and OTP trigger.,team/backend-cloud;phase/1-foundation,Phase 1 — Foundation
BE-3,Implement Login API,JWT login endpoint returning access and refresh tokens.,team/backend-cloud;phase/1-foundation,Phase 1 — Foundation
BE-4,Implement Token Refresh,Endpoint to refresh JWT tokens.,team/backend-cloud;phase/1-foundation,Phase 1 — Foundation
BE-5,Implement Email OTP Service,Service for generating and sending email OTP verification.,team/backend-cloud;phase/1-foundation,Phase 1 — Foundation
BE-6,Implement GitHub OAuth,Add GitHub OAuth login via social-django.,team/backend-cloud;phase/1-foundation,Phase 1 — Foundation
BE-7,Setup Celery Worker,Configure Celery worker for background email and notification jobs.,team/backend-cloud;phase/1-foundation,Phase 1 — Foundation
BE-8,Setup Redis Broker,Deploy Redis instance used by Celery.,team/backend-cloud;phase/1-foundation,Phase 1 — Foundation
BE-9,Configure Media Storage,Setup avatar and resume storage service.,team/backend-cloud;phase/2-community,Phase 2 — Community
BE-10,Implement Jobs Model,"Create Job model with company,title,location,salary fields.",team/backend-cloud;phase/3-jobs,Phase 3 — Jobs
BE-11,Implement Job Applications API,Create job application endpoint and tracking.,team/backend-cloud;phase/3-jobs,Phase 3 — Jobs
BE-12,Implement Notifications Worker,Background worker sending email notifications.,team/backend-cloud;phase/5-growth,Phase 5 — Growths